"型号品名";"规格";"加工要求";"单位";"进货价";"销售价";"类别";"品牌";"goodsID"
"MCK1-001A全3D椰维康床垫";"150*216*12";;"张";"0.00";"0.00";"床垫";"慕思.凯奇";"6434"
"MCK3-053床垫";"135*200*22";;"张";"0.00";"3885.00";"床垫";"慕思.凯奇";"8512"
"MCK1-001护脊连体弹簧床垫";"100*180*12";;"张";"0.00";"3013.00";"床垫";"慕思.凯奇";"7589"
"MCK3-038独立筒弹簧床垫";"150*200*21";;"张";"0.00";"5121.00";"床垫";"慕思.凯奇";"4186"
"MCK1-051标准弹簧床垫";"150*200*15";;"张";"0.00";"3655.00";"床垫";"慕思.凯奇";"5328"
"MCK4-012进口乳胶独立筒玻纤床垫";"90*200";;"张";"0.00";"0.00";"床垫";"慕思.凯奇";"4635"
"MCK1-009圆形护脊连体弹簧床垫";"D=210*27";"现代摆场";"张";"2212.00";"8413.00";"床垫";"慕思.凯奇";"2806"
"MCK3-053床垫";"150*190*14";;"张";"0.00";"3885.00";"床垫";"慕思.凯奇";"5622"
"MCK1-001单面加棕6cm床垫";"180*200*24";;"张";"0.00";"7119.00";"床垫";"慕思.凯奇";"6990"
"MCK3-026独立筒弹簧床垫";"150*200*23";;"张";"1723.00";"6074.00";"床垫";"慕思.凯奇";"831"
"MCK1-001A全3D椰维康床垫";"90*200*5";;"张";"671.00";"2242.00";"床垫";"慕思.凯奇";"5329"
"MCK3-053床垫";"180*200*14";;"张";"0.00";"4569.00";"床垫";"慕思.凯奇";"7341"
"MCK1-001护脊连体弹簧床垫";"160*240*12";;"张";"0.00";"4821.00";"床垫";"慕思.凯奇";"5970"
"MCK5-033多层独立筒弹簧床垫";"180*200*22";;"张";"0.00";"33860.00";"床垫";"慕思.凯奇";"3864"
"MCK3-052大独立筒弹簧床垫";"150*200*25";;"张";"2202.00";"6743.00";"床垫";"慕思.凯奇";"6026"
"MCK2-031薄款乳胶床垫";"105*190*5";;"张";"0.00";"5083.00";"床垫";"慕思.凯奇";"6045"
"MCK1-001A全3D椰维康床垫";"150*215*10";;"张";"0.00";"5907.00";"床垫";"慕思.凯奇";"7868"
"MCK3-006六面乳胶独立筒弹簧床垫";"180*200*16";"现代摆场";"张";"4679.29";"16447.00";"床垫";"慕思.凯奇";"2807"
"MCK5-060独立筒乳胶床垫";"180*200*14";;"张";"0.00";"17269.00";"床垫";"慕思.凯奇";"6094"
"MCK1-001护脊连体弹簧单面加2CM床垫";"150*190*14";;"张";"0.00";"4405.00";"床垫";"慕思.凯奇";"8027"
"MCK1-051标准弹簧床垫";"148*219*23";;"张";"0.00";"4203.00";"床垫";"慕思.凯奇";"7710"
"MCK1-001护脊连体弹簧床垫";"155*191*12";;"张";"1211.28";"3389.00";"床垫";"慕思.凯奇";"3161"
"MCK1-001A全3D椰维康床垫";"150*200*8";;"张";"1505.00";"4062.00";"床垫";"慕思.凯奇";"859"
"MCK3-053床垫";"135*200*20";;"张";"0.00";"4112.00";"床垫";"慕思.凯奇";"6333"
"KB-3B床垫";"180*200*22";;"张";"0.00";"8316.00";"床垫";"慕思.凯奇";"4763"
"MCK1-001护脊连体弹簧床垫";"160*215*22";;"张";"0.00";"4821.00";"床垫";"慕思.凯奇";"5331"
"MCK3-029七区乳胶独立筒弹簧床垫";"150*200*25";;"张";"2453.00";"7478.00";"床垫";"慕思.凯奇";"3170"
"MCK1-002床垫";"180*200*20";;"张";"0.00";"0.00";"床垫";"慕思.凯奇";"8392"
"MCK3-068/大独立筒弹簧/床垫";"180*200*22";;"张";"2132.00";"6699.00";"床垫";"慕思.凯奇";"7287"
"MCK1-001A全3D椰维康床垫";"65*110*10";;"张";"0.00";"2896.00";"床垫";"慕思.凯奇";"7159"
"MCK3-003独立筒弹簧床垫";"180*200*20";;"张";"2780.00";"9148.00";"床垫";"慕思.凯奇";"3131"
"MCK5-039乳胶超微独立筒床垫";"150*200*23";;"张";"2531.34";"9128.00";"床垫";"慕思.凯奇";"3734"
"MCK1-001护脊连体弹簧单面加2CM床垫";"180*190*22";;"张";"1597.32";"4915.00";"床垫";"慕思.凯奇";"3169"
"MCK1-051标准弹簧床垫";"150*200*17";;"张";"0.00";"3655.00";"床垫";"慕思.凯奇";"6945"
"MCK1-001护脊连体弹簧床垫";"120*190*22";;"张";"808.00";"2814.00";"床垫";"慕思.凯奇";"2043"
"MCK1-020清透棉连体弹簧床垫";"200*220*23";;"张";"3268.00";"11295.00";"床垫";"慕思.凯奇";"828"
"MCK1-051标准弹簧床垫";"150*200*13";;"张";"0.00";"3655.00";"床垫";"慕思.凯奇";"8054"
"MCK1-001护脊连体弹簧床垫";"120*190*20";;"张";"0.00";"2712.00";"床垫";"慕思.凯奇";"3826"
"MCK3-026独立筒弹簧床垫";"105*200*23";;"张";"0.00";"3575.00";"床垫";"慕思.凯奇";"4749"
"MCK1-001A全3D椰维康床垫";"155*238*8";;"张";"0.00";"5734.00";"床垫";"慕思.凯奇";"6279"
"MCK3-053床垫";"110*200*22";;"张";"0.00";"3426.00";"床垫";"慕思.凯奇";"8378"
"MCK3-031床垫";"106*184*5";;"张";"0.00";"5083.00";"床垫";"慕思.凯奇";"7650"
"MCK1-001护脊连体弹簧床垫";"150*200*16";;"张";"0.00";"3415.00";"床垫";"慕思.凯奇";"7239"
"MCK3-038独立筒弹簧床垫";"150*200*23";;"张";"0.00";"5098.00";"床垫";"慕思.凯奇";"4016"
"MCK2-031薄款乳胶床垫";"165*216*5";;"张";"0.00";"8714.00";"床垫";"慕思.凯奇";"8420"
"MCK1-001A全3D椰维康床垫";"180*220*8";;"张";"0.00";"5495.00";"床垫";"慕思.凯奇";"8526"
"MCK1-051标准弹簧床垫";"180*200*15";;"张";"0.00";"4298.00";"床垫";"慕思.凯奇";"4979"
"MCK4-012进口乳胶独立筒玻纤床垫";"90*200*20";;"张";"8208.00";"28360.00";"床垫";"慕思.凯奇";"821"
"MCK1-009圆形护脊连体弹簧床垫";"D=220*27";;"张";"2946.00";"9698.00";"床垫";"慕思.凯奇";"850"
"MCK3-053床垫";"150*200*20";;"张";"0.00";"3885.00";"床垫";"慕思.凯奇";"5601"
"MCK3-026独立筒弹簧床垫";"180*200*23";;"张";"2068.00";"7146.00";"床垫";"慕思.凯奇";"830"
"MCK1-001A全3D椰维康床垫";"180*114*5";;"张";"0.00";"4205.00";"床垫";"慕思.凯奇";"5028"
"MCK3-053床垫";"180*200*16";;"张";"0.00";"4569.00";"床垫";"慕思.凯奇";"7340"
"MCK1-001护脊连体弹簧床垫";"180*20014";;"张";"0.00";"2712.00";"床垫";"慕思.凯奇";"5945"
"MCK5-030乳胶双层独立筒弹簧床垫";"180*200*28";;"张";"0.00";"24610.00";"床垫";"慕思.凯奇";"5423"
"MCK3-052大独立筒弹簧床垫";"180*200*23";;"张";"0.00";"7933.00";"床垫";"慕思.凯奇";"6016"
"MCK2-031薄款乳胶床垫";"78*185*5";;"张";"0.00";"3631.00";"床垫";"慕思.凯奇";"6031"
"MCK1-001A全3D椰维康床垫";"150*185*5";;"张";"0.00";"3077.00";"床垫";"慕思.凯奇";"7821"
"MCK6-002凝胶/床垫";"180*200*20";;"张";"13257.00";"0.00";"床垫";"慕思.凯奇";"8426"
"MCK3-006六面乳胶独立筒弹簧床垫";"180*200*16";"晋江摆场";"张";"4464.36";"16447.00";"床垫";"慕思.凯奇";"2734"
